year,transported,tag_id,esu,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2024,,3DD.003BE3F67E,UC_Sthd,2022,1,1,1,1,0,0,0,0
2005,,3D9.1BF161B592,UC_Sthd,2003,1,0,0,1,0,0,0,0
2015,,384.3B23B1AC4A,UC_Sthd,2013,1,0,0,0,0,0,0,0
2005,,3D9.1BF1784B3C,UC_Sthd,2003,1,0,0,1,0,0,0,0
2006,,3D9.1BF19D2757,UC_Sthd,2004,1,0,0,0,0,0,0,0
2006,,3D9.1BF1D5095D,UC_Sthd,2004,1,0,0,1,0,0,0,0
2005,,3D9.1BF1630FB0,UC_Sthd,2003,1,0,0,0,0,0,0,0
2007,,3D9.1BF20A0556,UC_Sthd,2005,1,0,0,1,0,0,0,0
2015,,384.36F2B4B166,UC_Sthd,2012,1,0,0,0,0,0,0,0
2005,,3D9.1BF17FFFED,UC_Sthd,2003,1,0,0,1,0,0,0,0
2009,,3D9.257C62D167,UC_Sthd,2007,1,0,0,1,0,0,0,0
2012,,3D9.1C2D422D78,UC_Sthd,2010,1,0,0,1,0,0,0,0
2005,,3D9.1BF17716BE,UC_Sthd,2003,1,0,0,1,0,0,0,0
2023,,3DD.003D980FC3,UC_Sthd,2021,1,1,1,1,0,0,0,0
2010,,3D9.257C5AEAAF,UC_Sthd,2008,1,0,0,1,0,0,0,0
2022,,3DD.003D8762C7,UC_Sthd,2020,1,0,0,0,0,0,0,0
2012,,3D9.1C2D21CA5B,UC_Sthd,2010,1,0,0,1,0,0,0,0
2007,,3D9.1BF20ACA43,UC_Sthd,2005,1,0,0,0,0,0,0,0
2005,,3D9.1BF1638061,UC_Sthd,2003,1,0,0,1,0,0,0,0
2005,,3D9.1BF1870AF1,UC_Sthd,2003,1,0,0,1,0,0,0,0
2006,,3D9.1BF19D87FA,UC_Sthd,2004,1,0,0,1,0,0,0,0
2005,,3D9.1BF15E5352,UC_Sthd,2003,1,0,0,0,0,0,0,0
2005,,3D9.1BF17991A6,UC_Sthd,2003,1,0,0,0,0,0,0,0
2024,,3DD.003E16B46E,UC_Sthd,2022,1,0,0,0,0,0,0,0
2007,,3D9.1BF209C1FF,UC_Sthd,2005,1,0,0,1,0,0,0,0
2005,,3D9.1BF163B0BC,UC_Sthd,2003,1,0,0,0,0,0,0,0
2022,,3DD.003D874C82,UC_Sthd,2020,1,0,1,1,0,0,0,0
2005,,3D9.1BF17A15E2,UC_Sthd,2003,1,0,0,0,0,0,0,0
2024,,3DD.003DFD539E,UC_Sthd,2022,1,1,1,1,0,0,0,0
2007,,3D9.1BF18DAF5A,UC_Sthd,2005,1,0,0,0,0,0,0,0
2006,,3D9.1BF19F84FE,UC_Sthd,2004,1,0,0,0,0,0,0,0
2005,,3D9.1BF1773F7F,UC_Sthd,2003,1,0,0,0,0,0,0,0
2005,,3D9.1BF177EA24,UC_Sthd,2003,1,0,0,1,0,0,0,0
2023,,3DD.003D980F9E,UC_Sthd,2021,1,1,1,1,0,0,0,0
2005,,3D9.1BF16E9666,UC_Sthd,2003,1,0,0,1,0,0,0,0
2006,,3D9.1BF19E2680,UC_Sthd,2004,1,0,0,1,0,0,0,0
2005,,3D9.1BF15D24B5,UC_Sthd,2003,1,0,0,0,0,0,0,0
2005,,3D9.1BF15F9337,UC_Sthd,2003,1,0,0,0,0,0,0,0
2021,,384.3B239AD025,UC_Sthd,2019,1,1,1,1,0,0,0,0
2007,,3D9.1BF204455D,UC_Sthd,2005,1,0,0,0,0,0,0,0
2009,,3D9.257C6306BD,UC_Sthd,2007,1,0,0,1,0,0,0,0
2005,,3D9.1BF15B1386,UC_Sthd,2003,1,0,0,1,0,0,0,0
2005,,3D9.1BF1766216,UC_Sthd,2003,1,0,0,0,0,0,0,0
2006,,3D9.1BF1997598,UC_Sthd,2004,1,0,0,0,0,0,0,0
2002,,3D9.1BF0F447A1,UC_Sthd,2000,1,0,0,1,0,0,0,0
2006,,3D9.1BF19F6793,UC_Sthd,2004,1,0,0,1,0,0,0,0
2006,,3D9.1BF1AB5FF0,UC_Sthd,2004,1,0,0,1,0,0,0,0
2005,,3D9.1BF171C313,UC_Sthd,2003,1,0,0,0,0,0,0,0
2011,,3D9.1C2C84ACC6,UC_Sthd,2009,1,0,0,0,0,0,0,0
2013,,3D9.1C2D6E125E,UC_Sthd,2011,1,1,0,1,0,0,0,0
2020,,3DD.0077A3556F,UC_Sthd,2018,1,1,1,1,0,0,0,0
2005,,3D9.1BF15BD449,UC_Sthd,2003,1,0,0,1,0,0,0,0
2013,,3D9.1C2D6C6712,UC_Sthd,2011,1,1,0,1,0,0,0,0
2012,,3D9.1C2D8DCB66,UC_Sthd,2010,1,0,0,0,0,0,0,0
2005,,3D9.1BF1775FDB,UC_Sthd,2003,1,0,0,0,0,0,0,0
2009,,3D9.257C5A25CB,UC_Sthd,2007,1,0,0,1,0,0,0,0
2006,,3D9.1BF1AC2725,UC_Sthd,2004,1,0,0,1,0,0,0,0
2005,,3D9.1BF15C00CE,UC_Sthd,2003,1,0,0,1,0,0,0,0
2012,,3D9.1C2D3A88CA,UC_Sthd,2010,1,0,0,0,0,0,0,0
2006,,3D9.1BF1DAB1D3,UC_Sthd,2004,1,0,0,1,0,0,0,0
2005,,3D9.1BF14EC74E,UC_Sthd,2003,1,0,0,1,0,0,0,0
2005,,3D9.1BF177F320,UC_Sthd,2003,1,0,0,1,0,0,0,0
2006,,3D9.1BF1C2137B,UC_Sthd,2004,1,0,0,1,0,0,0,0
2007,,3D9.1BF18979ED,UC_Sthd,2005,1,0,0,1,0,0,0,0
2014,,3D9.1C2D7DB626,UC_Sthd,2012,1,1,0,1,0,0,0,0
2014,,3D9.1C2DC91E36,UC_Sthd,2012,1,1,0,0,0,0,0,0
2015,,384.3B23B26661,UC_Sthd,2013,1,1,0,1,0,0,0,0
2005,,3D9.1BF1773D0E,UC_Sthd,2003,1,0,0,0,0,0,0,0
2005,,3D9.1BF172E43A,UC_Sthd,2003,1,0,0,0,0,0,0,0
2005,,3D9.1BF17E90E2,UC_Sthd,2003,1,0,0,1,0,0,0,0
2011,,3D9.1C2D04F01D,UC_Sthd,2009,1,0,0,1,0,0,0,0
2023,,3DD.003D55A0C0,UC_Sthd,2021,1,1,1,1,0,0,0,0
2005,,3D9.1BF15C20C7,UC_Sthd,2003,1,0,0,1,0,0,0,0
2006,,3D9.1BF1DB19A4,UC_Sthd,2004,1,0,0,1,0,0,0,0
2024,,3DD.003DFCED31,UC_Sthd,2022,1,1,1,1,0,0,0,0
2011,,3D9.1C2D1F7BFE,UC_Sthd,2009,1,0,0,1,0,0,0,0
2005,,3D9.1BF15D8BB8,UC_Sthd,2003,1,0,0,1,0,0,0,0
2006,,3D9.1BF1D6DD65,UC_Sthd,2004,1,0,0,1,0,0,0,0
2014,,3D9.1C2DCAB025,UC_Sthd,2012,1,1,0,1,0,0,0,0
2005,,3D9.1BF1719010,UC_Sthd,2003,1,0,0,1,0,0,0,0
2013,,3D9.1C2D140F75,UC_Sthd,2011,1,1,0,1,0,0,0,0
2020,,3DD.003C07E6BE,UC_Sthd,2018,1,1,1,1,0,0,0,0
2005,,3D9.1BF177ED81,UC_Sthd,2003,1,0,0,0,0,0,0,0
2019,,3DD.003BF60B5F,UC_Sthd,2017,1,1,1,1,0,0,0,0
2008,,3D9.257C62BF29,UC_Sthd,2006,1,0,0,1,0,0,0,0
2020,,3DD.003C07ECE7,UC_Sthd,2018,1,1,1,1,0,0,0,0
2009,,3D9.257C5A2A50,UC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.257C59FB95,UC_Sthd,2007,1,0,0,0,0,0,0,0
2006,,3D9.1BF1DA44D4,UC_Sthd,2004,1,0,0,1,0,0,0,0
2006,,3D9.1BF1995140,UC_Sthd,2004,1,0,0,1,0,0,0,0
2007,,3D9.1BF20C36A2,UC_Sthd,2005,1,0,0,0,0,0,0,0
2001,,5257410B78,UC_Sthd,1999,1,0,0,0,0,0,0,0
2005,,3D9.1BF17EA452,UC_Sthd,2003,1,0,0,1,0,0,0,0
2005,,3D9.1BF177EAA0,UC_Sthd,2003,1,0,0,0,0,0,0,0
2005,,3D9.1BF161B234,UC_Sthd,2003,1,0,0,1,0,0,0,0
2008,,3D9.257C60017A,UC_Sthd,2006,1,0,0,0,0,0,0,0
2010,,3D9.1C2C4183A2,UC_Sthd,2008,1,0,0,1,0,0,0,0
2005,,3D9.1BF172D548,UC_Sthd,2003,1,0,0,1,0,0,0,0
2016,,384.3B23A61589,UC_Sthd,2014,1,1,0,1,0,0,0,0
2006,,3D9.1BF1D5CE33,UC_Sthd,2004,1,0,0,1,0,0,0,0
2020,,3DD.003C0453D8,UC_Sthd,2018,1,1,1,1,0,0,0,0
2010,,3D9.1C2C4478BF,UC_Sthd,2008,1,0,0,1,0,0,0,0
2015,,384.3B23B153DE,UC_Sthd,2013,1,1,0,1,0,0,0,0
2005,,3D9.1BF177BA86,UC_Sthd,2003,1,0,0,1,0,0,0,0
2005,,3D9.1BF15B1F81,UC_Sthd,2003,1,0,0,0,0,0,0,0
2011,,3D9.1C2CDC5321,UC_Sthd,2008,1,0,0,1,0,0,0,0
2012,,3D9.1C2D06194B,UC_Sthd,2010,1,0,0,1,0,0,0,0
2009,,3D9.257C61AC21,UC_Sthd,2007,1,0,0,1,0,0,0,0
2011,,3D9.1C2CCDA8EA,UC_Sthd,2008,1,0,0,0,0,0,0,0
2006,,3D9.1BF1997787,UC_Sthd,2004,1,0,0,0,0,0,0,0
2005,,3D9.1BF1774C12,UC_Sthd,2003,1,0,0,1,0,0,0,0
2010,,3D9.1C2C467ACD,UC_Sthd,2008,1,0,0,1,0,0,0,0
2012,,3D9.1C2D2DA433,UC_Sthd,2010,1,0,0,1,0,0,0,0
2008,,3D9.257C5CAD33,UC_Sthd,2005,1,0,0,1,0,0,0,0
2005,,3D9.1BF170019A,UC_Sthd,2003,1,0,0,1,0,0,0,0
2015,,3D9.1C2DEF1521,UC_Sthd,2013,1,1,0,1,0,0,0,0
2013,,3D9.1C2D0E7D39,UC_Sthd,2011,1,1,0,1,0,0,0,0
2005,,3D9.1BF186D3D2,UC_Sthd,2003,1,0,0,0,0,0,0,0
2008,,3D9.257C62DA1D,UC_Sthd,2006,1,0,0,1,0,0,0,0
2006,,3D9.1BF1C1AEC2,UC_Sthd,2004,1,0,0,1,0,0,0,0
2023,,3DD.003D5479CB,UC_Sthd,2021,1,1,1,0,0,0,0,0
2005,,3D9.1BF15AE91D,UC_Sthd,2003,1,0,0,1,0,0,0,0
2006,,3D9.1BF1D831E3,UC_Sthd,2004,1,0,0,0,0,0,0,0
2022,,3DD.003BC5BE57,UC_Sthd,2020,1,1,1,1,0,0,0,0
2016,,3DD.003BAAFE60,UC_Sthd,2014,1,0,0,0,0,0,0,0
2005,,3D9.1BF1602ECB,UC_Sthd,2003,1,0,0,1,0,0,0,0
2005,,3D9.1BF15ED819,UC_Sthd,2003,1,0,0,0,0,0,0,0
2024,,3DD.003D82D114,UC_Sthd,2021,1,1,1,1,0,0,0,0
2006,,3D9.1BF19D1235,UC_Sthd,2004,1,0,0,1,0,0,0,0
