year,transported,tag_id,esu,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2004,T,3D9.1BF11CC16F,SR_Sthd,2002,1,0,0,1,1,0,0,1
2024,,3DD.003BD52A00,SR_Sthd,2022,1,1,1,1,1,1,1,1
2009,T,3D9.1BF26B84BB,SR_Sthd,2007,1,0,0,1,1,0,0,1
2010,,3D9.1C2C4F42E8,SR_Sthd,2008,1,0,0,1,1,0,0,0
2012,,3D9.1BF27FF955,SR_Sthd,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1BF27A7954,SR_Sthd,2009,1,0,0,0,0,0,0,0
2015,T,3D9.1BF27512E6,SR_Sthd,2013,1,0,0,0,0,0,0,0
2023,,3DD.0077A5A70D,SR_Sthd,2020,1,1,1,1,1,1,0,0
2009,,3D9.1BF27EA32A,SR_Sthd,2007,1,0,0,1,1,0,0,1
2023,,3DD.00778683DD,SR_Sthd,2021,1,1,1,1,1,1,1,1
2012,T,3D9.1BF279E4BA,SR_Sthd,2010,1,0,0,1,1,0,0,1
2009,T,3D9.1BF1A7A13B,SR_Sthd,2007,1,0,0,1,1,0,0,1
2014,T,3D9.1C2DD37FF9,SR_Sthd,2012,1,1,0,0,0,0,0,0
2012,,3D9.1C2D747361,SR_Sthd,2010,1,0,0,1,1,0,0,1
2009,T,3D9.1BF2447A2B,SR_Sthd,2007,1,0,0,1,1,0,0,1
2009,T,3D9.1BF242F84B,SR_Sthd,2007,1,0,0,1,1,0,0,1
2012,,3D9.1C2D82D25D,SR_Sthd,2010,1,0,0,1,1,0,0,1
2009,T,3D9.1BF260D5E1,SR_Sthd,2007,1,0,0,1,1,0,0,1
2024,T,3DD.003BDB73D5,SR_Sthd,2022,1,1,1,1,1,1,1,1
2017,,384.3B23AC2A53,SR_Sthd,2014,1,1,0,1,1,1,1,1
2020,T,3D9.1C2CC0E394,SR_Sthd,2018,1,0,1,1,1,1,1,1
2023,,3DD.003D635622,SR_Sthd,2021,1,1,1,1,1,1,1,1
2011,,3D9.1C2C4E27B8,SR_Sthd,2009,1,0,0,0,0,0,0,0
2022,,3DD.0077AE727E,SR_Sthd,2019,1,0,0,0,0,0,0,0
2020,T,3DD.0077D83621,SR_Sthd,2018,1,1,1,1,1,0,0,0
2024,,3DD.003E11DB60,SR_Sthd,2022,1,1,1,1,1,1,1,1
2024,T,3DD.003D50E836,SR_Sthd,2022,1,1,1,1,1,1,1,1
2002,T,3D9.1BF107C78B,SR_Sthd,2000,1,0,0,1,0,0,0,1
2010,T,3D9.1C2C4EDF8F,SR_Sthd,2008,1,0,0,0,0,0,0,0
2022,,3DD.003D3C8F0A,SR_Sthd,2020,1,1,1,1,1,1,1,1
2003,T,3D9.1BF11EF770,SR_Sthd,2001,1,0,0,0,0,0,0,0
2011,T,3D9.1C2CE92959,SR_Sthd,2009,1,0,0,0,0,0,0,0
2015,T,3D9.1BF2737787,SR_Sthd,2013,1,1,0,1,1,1,1,1
2013,,3D9.1C2CF8858A,SR_Sthd,2011,1,1,0,1,1,0,0,1
2014,T,3D9.1BF277402E,SR_Sthd,2012,1,1,0,1,1,1,1,1
2011,,3D9.1BF27C6E20,SR_Sthd,2009,1,0,0,0,0,0,0,0
2022,T,3DD.003D6B3D0B,SR_Sthd,2020,1,1,1,1,1,1,0,1
2020,T,3DD.0077A438C8,SR_Sthd,2018,1,1,1,1,1,1,1,1
2011,T,3D9.1C2C599C11,SR_Sthd,2009,1,0,0,0,0,0,0,0
2014,,3D9.1C2DBA3D27,SR_Sthd,2012,1,1,0,1,1,1,1,1
2013,,3D9.1C2DA728A3,SR_Sthd,2011,1,1,0,1,1,0,0,1
2011,,3D9.1C2C98550E,SR_Sthd,2009,1,0,0,1,1,0,0,1
2004,,3D9.1BF13A1A52,SR_Sthd,2002,1,0,0,0,0,0,0,0
2009,T,3D9.257C598545,SR_Sthd,2007,1,0,0,1,1,0,0,1
2014,,3D9.1C2DD331C7,SR_Sthd,2012,1,1,0,1,1,1,1,1
2015,T,3D9.1BF271EE0F,SR_Sthd,2013,1,1,0,1,1,1,1,1
2010,T,3D9.1BF279AD17,SR_Sthd,2008,1,0,0,1,0,0,0,0
2016,T,3D9.1BF27A4041,SR_Sthd,2014,1,1,0,0,0,0,0,0
2015,,3D9.1C2DEEAB2E,SR_Sthd,2013,1,1,0,1,1,1,1,1
2011,,3D9.1BF27CE18E,SR_Sthd,2009,1,0,0,1,1,0,0,1
2016,,384.3B23A901C5,SR_Sthd,2014,1,1,0,1,1,1,1,1
2008,T,3D9.1BF1C62A58,SR_Sthd,2006,1,0,0,1,1,0,0,1
2023,,3DD.003D583004,SR_Sthd,2020,1,1,1,1,1,1,1,1
2004,,3D9.1BF11035AD,SR_Sthd,2002,1,0,0,1,1,0,0,1
2014,T,3D9.1C2D8DFC09,SR_Sthd,2012,1,1,0,1,1,1,1,1
2002,,3D9.1BF0F7CA04,SR_Sthd,2000,1,0,0,1,0,0,0,1
2009,,3D9.1BF27ECE62,SR_Sthd,2007,1,0,0,0,0,0,0,0
2014,,3D9.1C2DE23FF1,SR_Sthd,2012,1,1,0,1,1,1,1,1
2010,T,3D9.1BF2788817,SR_Sthd,2008,1,0,0,1,1,0,0,1
2004,,3D9.1BF155BD4F,SR_Sthd,2002,1,0,0,1,1,0,0,1
2005,T,3D9.1BF1BDAECA,SR_Sthd,2003,1,0,0,0,0,0,0,0
2015,,3D9.1C2DFFAB03,SR_Sthd,2013,1,1,0,1,1,1,1,1
2009,T,3D9.1BF239A741,SR_Sthd,2007,1,0,0,0,0,0,0,0
2010,T,3D9.1BF27A74DB,SR_Sthd,2008,1,0,0,1,1,0,0,1
2016,,384.3B23B23556,SR_Sthd,2014,1,0,0,0,0,0,0,0
2024,,3DD.003D7BFFCD,SR_Sthd,2022,1,1,0,0,0,0,0,0
