year,transported,tag_id,esu,migration_year,bon,tda,jda,mcn
2010,,3D9.1C2C9C8BF7,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1BF1F86A76,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C4BE6C8,MC_Sthd_abvMCN,2008,1,0,0,0
2010,,3D9.1C2C4BCCB4,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C4C0858,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C87D3E7,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1BF252D1E7,MC_Sthd_abvMCN,2008,1,0,0,0
2010,,3D9.1C2C4BABFD,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2CA98ADF,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C4BF5AF,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C4C29D1,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C4C73F9,MC_Sthd_abvMCN,2008,1,0,0,0
2010,,3D9.1C2C512CC8,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C51316A,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C319CEE,MC_Sthd_abvMCN,2008,1,0,0,0
2010,,3D9.1C2C87BE6A,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C4C08BC,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C318E9B,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C87572F,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C4BB920,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C97F934,MC_Sthd_abvMCN,2008,1,0,0,0
2010,,3D9.1C2C318AB9,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C50FF69,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C510FC5,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C2A63C7,MC_Sthd_abvMCN,2008,1,0,0,0
2010,,3D9.1C2C4B768C,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C516E74,MC_Sthd_abvMCN,2008,1,0,0,0
2010,,3D9.1C2C876A8A,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C4BE384,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C51DF25,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C31347F,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C4C100A,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C50D67D,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1BF252E3FB,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C875DBF,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1BF25359C8,MC_Sthd_abvMCN,2008,1,0,0,0
2010,,3D9.1C2CA9A39F,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C511184,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C87C3DF,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C4BCA06,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1BF2534C52,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C43C9C0,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C43E197,MC_Sthd_abvMCN,2008,1,0,0,0
2010,,3D9.1C2C4419BC,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C4BCE34,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C50E4C1,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C515D45,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C4BD00F,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C4BEEBF,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C41FF8D,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1BF1F8AD84,MC_Sthd_abvMCN,2008,1,0,0,0
2010,,3D9.1C2CDC1737,MC_Sthd_abvMCN,2008,1,0,0,1
2010,,3D9.1C2C51798B,MC_Sthd_abvMCN,2008,1,0,0,1
2011,,3D9.1BF18A8E9C,MC_Sthd_abvMCN,2008,1,0,0,1
2011,,3D9.1C2C9C8F19,MC_Sthd_abvMCN,2008,1,0,0,1
2011,,3D9.1C2C50D7BC,MC_Sthd_abvMCN,2008,1,0,0,1
2011,,3D9.1BF18A820A,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CE6E57C,MC_Sthd_abvMCN,2009,1,0,0,0
2011,,3D9.1C2CEA2421,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CF39E71,MC_Sthd_abvMCN,2009,1,0,0,0
2011,,3D9.1C2CC4228F,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CEA4FBE,MC_Sthd_abvMCN,2009,1,0,0,0
2011,,3D9.1BF18DD3AB,MC_Sthd_abvMCN,2009,1,0,0,0
2011,,3D9.1C2CE1B380,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1BF18AD759,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CC514F4,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CDC8E0C,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CE3CC9C,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CC7C6C4,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CE230F2,MC_Sthd_abvMCN,2009,1,0,0,0
2011,,3D9.1C2C675085,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CBA9E57,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2C29EEE0,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CDC541C,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CE1C50B,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CEA50CC,MC_Sthd_abvMCN,2009,1,0,0,0
2011,,3D9.1C2CB29092,MC_Sthd_abvMCN,2009,1,0,0,0
2011,,3D9.1C2CE422ED,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CDC4C42,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CE21719,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CE70D79,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CDBF214,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2C6C1A39,MC_Sthd_abvMCN,2009,1,0,0,1
