year,age,transported,tag_id,population,release_rkm,migration_year,bon,tda,jda,mcn
2009,3,,3D9.1BF201E195 ,UpColSpChin_abvRIS,754.077.002,2006,1,0,0,1
2009,3,,3D9.1BF20064E6 ,UpColSpChin_abvRIS,754.077.002,2006,1,0,0,1
2009,3,,3D9.1BF201DE60 ,UpColSpChin_abvRIS,754.077.002,2006,1,0,0,1
2009,3,,3D9.1BF1957CEF ,UpColSpChin_abvRIS,754.077.002,2006,1,0,0,1
2009,3,,3D9.1BF2018370 ,UpColSpChin_abvRIS,754.077.002,2006,1,0,0,1
2009,3,,3D9.1BF201BE64 ,UpColSpChin_abvRIS,754.077.002,2006,1,0,0,1
2009,3,,3D9.1BF201B7EC ,UpColSpChin_abvRIS,754.077.002,2006,1,0,0,1
2009,3,,3D9.1BF25D6B86 ,UpColSpChin_abvRIS,754.077.002,2006,1,0,0,1
2009,2,,3D9.1BF25D4ACA ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5AF221 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5A5407 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5C6224 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.1C2C47F249 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C59F7D8 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5B03E6 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.1BF25D56DF ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,0
2009,2,,3D9.257C5D1EE6 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5AC65E ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5CE4DF ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5A026B ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5B4441 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.1BF2630A21 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5AF9B6 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5CA8ED ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,0
2009,2,,3D9.1BF25D50CE ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,0
2009,2,,3D9.1BF25D6D20 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5ADCFC ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5AD9F3 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5A9E17 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5ACE51 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5C6BF6 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5A99D3 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5A9A28 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5D4EEE ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5B1E91 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5A7371 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,0
2009,2,,3D9.257C5CAB16 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5ACC4C ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5B2016 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5AF84A ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.1BF26B1E50 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5AA765 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5B0B46 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.1BF26DD984 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5B0408 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5AB84F ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.1BF26E1C5B ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,0
2009,2,,3D9.257C5B55E5 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5C8575 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.1BF25DBA0C ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5CA042 ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,2,,3D9.257C5CC60B ,UpColSpChin_abvRIS,754.077.002,2007,1,0,0,1
2009,3,,3D9.1BF262C3FA ,UpColSpChin_abvRIS,754.077.003,2006,1,0,0,1
2009,3,,3D9.1BF263096C ,UpColSpChin_abvRIS,754.077.003,2006,1,0,0,1
2009,2,,3D9.1C2C39F226 ,UpColSpChin_abvRIS,754.077.003,2007,1,0,0,1
2009,2,,3D9.1BF25D9BEB ,UpColSpChin_abvRIS,754.077.003,2007,1,0,0,1
2009,2,,3D9.1BF25D2D66 ,UpColSpChin_abvRIS,754.077.003,2007,1,0,0,1
2009,2,,3D9.1BF262FF49 ,UpColSpChin_abvRIS,754.077.003,2007,1,0,0,1
2009,2,,3D9.1BF262FC1D ,UpColSpChin_abvRIS,754.086,2007,1,0,0,1
2009,2,,3D9.1BF26B293B ,UpColSpChin_abvRIS,754.086,2007,1,0,0,1
2009,2,,3D9.1BF2606802 ,UpColSpChin_abvRIS,754.089,2007,1,0,0,1
2009,3,,3D9.1BF201F950 ,UpColSpChin_abvRIS,754.089.001,2006,1,0,0,1
2009,3,,3D9.1BF25FD304 ,UpColSpChin_abvRIS,754.089.001,2006,1,0,0,0
2009,2,,3D9.1C2C3136E9 ,UpColSpChin_abvRIS,778.002,2007,1,0,0,0
2009,3,,3D9.1BF201A089 ,UpColSpChin_abvRIS,778.011,2006,1,0,0,0
2009,2,,3D9.1BF17214D3 ,UpColSpChin_abvRIS,778.011,2007,1,0,0,1
2009,2,,3D9.1C2C44AA20 ,UpColSpChin_abvRIS,778.011,2007,1,0,0,1
2009,2,,3D9.1BF25E3F4F ,UpColSpChin_abvRIS,778.011,2007,1,0,0,1
2009,3,,3D9.1BF1A800C2 ,UpColSpChin_abvRIS,778.017,2006,1,0,0,0
2009,2,,3D9.1BF1CEF094 ,UpColSpChin_abvRIS,843.036,2007,1,0,0,0
2009,2,,3D9.1BF1CF1EB0 ,UpColSpChin_abvRIS,843.036,2007,1,0,0,1
2009,2,,3D9.1BF1CEC9D0 ,UpColSpChin_abvRIS,843.036,2007,1,0,0,1
2009,2,,3D9.1BF1A554A7 ,UpColSpChin_abvRIS,843.036,2007,1,0,0,0
2009,2,,3D9.1BF1A9C248 ,UpColSpChin_abvRIS,843.036,2007,1,0,0,1
2009,2,,3D9.1BF1CF4EF3 ,UpColSpChin_abvRIS,843.036,2007,1,0,0,1
2009,2,,3D9.1BF1CEA8AA ,UpColSpChin_abvRIS,843.066.003,2007,1,0,0,0
2009,2,,3D9.1BF1CECAF2 ,UpColSpChin_abvRIS,843.066.003,2007,1,0,0,1
2009,2,,3D9.1BF1A5A7A2 ,UpColSpChin_abvRIS,843.066.003,2007,1,0,0,0
2009,2,,3D9.1BF1A19A47 ,UpColSpChin_abvRIS,843.066.003,2007,1,0,0,1
2009,2,,3D9.1BF1A6D815 ,UpColSpChin_abvRIS,843.066.003,2007,1,0,0,1
2009,2,,3D9.1BF1A9AB30 ,UpColSpChin_abvRIS,843.066.003,2007,1,0,0,0
2009,3,,3D9.1BF1E887A1 ,UpColSpChin_abvRIS,843.081,2006,1,0,0,1
2009,2,,3D9.1BF19AB959 ,UpColSpChin_abvRIS,843.081,2007,1,0,0,0
2009,2,,3D9.1BF1CDA494 ,UpColSpChin_abvRIS,843.081,2007,1,0,0,1
2009,2,,3D9.1BF19B1F01 ,UpColSpChin_abvRIS,843.081,2007,1,0,0,0
2010,3,,3D9.1BF201937F ,UpColSpChin_abvRIS,754.010,2007,1,0,0,1
2010,2,,3D9.1C2C47EE30 ,UpColSpChin_abvRIS,754.010,2008,1,0,0,1
2010,2,,3D9.1C2C44902E ,UpColSpChin_abvRIS,754.010,2008,1,0,0,1
2010,2,,3D9.1C2C50F05F ,UpColSpChin_abvRIS,754.010,2008,1,0,0,1
2010,2,,3D9.1C2C47DDB3 ,UpColSpChin_abvRIS,754.010,2008,1,0,0,1
2010,2,,3D9.1C2C48853C ,UpColSpChin_abvRIS,754.010,2008,1,0,0,1
2010,3,,3D9.1C2C428D67 ,UpColSpChin_abvRIS,754.041.005,2007,1,0,0,1
2010,2,,3D9.1C2C66BBBE ,UpColSpChin_abvRIS,754.041.005,2008,1,0,0,1
2010,2,,3D9.1C2C65F2A7 ,UpColSpChin_abvRIS,754.041.005,2008,1,0,0,0
2010,2,,3D9.1C2C667FC8 ,UpColSpChin_abvRIS,754.041.005,2008,1,0,0,1
2010,2,,3D9.1C2C67CA2A ,UpColSpChin_abvRIS,754.041.005,2008,1,0,0,0
2010,2,,3D9.1C2C664B2F ,UpColSpChin_abvRIS,754.041.005,2008,1,0,0,1
2010,2,,3D9.1C2C5DC2AE ,UpColSpChin_abvRIS,754.041.005,2008,1,0,0,1
2010,2,,3D9.1C2C66B68D ,UpColSpChin_abvRIS,754.041.005,2008,1,0,0,1
