year,age,transported,tag_id,population,release_rkm,migration_year,bon,tda,jda,mcn
2009,3,,3D9.257C5CE190 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5CDE4A ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F9F4D ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5D147F ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FB778 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5AFF66 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5FAD02 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5B6424 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C614A21 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5B0AE5 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C612E4D ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5D3B2B ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5C9A76 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F99FB ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5F7546 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5D1604 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C657A3E ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C6149D4 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5FB7FC ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F988C ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C657044 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5D3066 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5B2646 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C657802 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5B1C27 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C6168B0 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C6141EC ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C612F5A ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5B019E ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F7D68 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C656F61 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5F8322 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5F9DAC ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C6579AC ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5B0C9C ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5CB295 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F95CF ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5B4DFC ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FCC18 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C657DF1 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F9B60 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C613107 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F8876 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5CD7FE ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C657278 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5D156F ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FAA9C ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C65774B ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5B04A6 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5FA959 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C61627B ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FB6F0 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5D3BC1 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C614E66 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5B1DCA ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F7DCB ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FA073 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C615A61 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C657D8E ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FA32B ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5FAB9F ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C615D3D ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5CA514 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C61465D ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FA8A4 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C657C00 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5D32CF ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C6572D3 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F9E09 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C657186 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FCF1F ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C65692F ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C613DD5 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FB2E7 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
