year,age,transported,tag_id,population,release_rkm,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2009,2,T,3D9.1BF25F0FA1 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF23D747E ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF24E77F5 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF23905BF ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF23E28EE ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF22E8EB5 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2447A2B ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF262A338 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF23AF999 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF27984BB ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF23E1645 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF236ACB4 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2763139 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2763C03 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,0
2009,2,T,3D9.1BF276F4BF ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF23A2172 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,0
2009,2,T,3D9.1BF244A13E ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF27B0EE6 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2372120 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF25DF446 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF23E1C6C ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF24F3CB6 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2450DE5 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF24D04BE ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF24DE457 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2763B6E ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,0,0,0,0
2009,2,T,3D9.1BF22F1778 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF2757CCA ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF23A7B1E ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,0,0,0,0
2009,2,T,3D9.1BF2759D3B ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF23E1B6D ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF23EDD02 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF24C2714 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF2759BF3 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF2786414 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,0,0,0,0
2009,2,T,3D9.1BF2522796 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF236AE68 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF2796A07 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF279427F ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF249F45A ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF275C507 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF2509678 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF22D8FBE ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF22ED052 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF27877C0 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2758A4F ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2787BF8 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF233089A ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF23CBC46 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,0
2009,2,T,3D9.1BF2757F49 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF245160A ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF24DCF00 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF234B529 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF27B28D0 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF23E2A70 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF276EEF8 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF24DF0A6 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
