id,reportyear,reportname,tablenum,tablename,Season,"Fishing Days","Numbers Landed Chinook Adults","Numbers Landed Coho","Numbers Landed Steelhead","Numbers Landed White Sturgeon"
2000,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,Fall mainstem Columbia River treaty fishery landings,"Aug. 30-Sept. 23",17,52100,6300,15500,0
2001,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,Fall mainstem Columbia River treaty fishery landings,"Aug. 28-Sept. 29",18,103900,5400,29200,806
2002,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,Fall mainstem Columbia River treaty fishery landings,"Aug 28-Sep 28",18.5,129700,1600,13800,300
2003,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,Fall mainstem Columbia River treaty fishery landings,"Aug 26-Oct 11",27.5,123600,5800,14900,200
2004,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,Fall mainstem Columbia River treaty fishery landings,"Aug 25-Oct 16",30,127600,10300,14600,64
2005,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,Fall mainstem Columbia River treaty fishery landings,"Aug 22-Sept. 30",25,113500,5400,13700,138
2006,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,Fall mainstem Columbia River treaty fishery landings,"Aug 21-Oct 6",29.5,76290,7577,21130,78
2007,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,Fall mainstem Columbia River treaty fishery landings,"Aug 22-Oct 6",25.5,36782,8030,19457,90
2008,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,Fall mainstem Columbia River treaty fishery landings,"Aug 19-Oct 23",37,106625,21625,26339,94
2009,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,Fall mainstem Columbia River treaty fishery landings,"Aug 24-Oct 1",23,98622,15675,36755,34
