id,reportyear,reportname,tablenum,tablename,"Skamania Index Hatchery","Skamania Index Natural Origin","Skamania Index Total","A-Index Clipped Hatchery","A-Index Unclipped Hatchery","A-Index Natural Origin","A-Index Total","B-Index Clipped Hatchery","B-Index Unclipped Hatchery","B-Index Natural Origin","B-Index Total","Total Passage Hatchery","Total Passage Natural Origin","Total Passage Total "
2002,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",NULL,9671,24991,NULL,NULL,87276,323124,NULL,NULL,32333,129882,NULL,129280,477997
2003,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",NULL,1801,14154,NULL,NULL,67049,305795,NULL,NULL,6417,37228,NULL,75267,357177
2004,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",NULL,3289,20148,NULL,NULL,60421,250615,NULL,NULL,9202,37398,NULL,72912,308161
2005,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",NULL,2123,11221,NULL,NULL,58917,251631,NULL,NULL,9619,48968,NULL,70659,311820
2006,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",NULL,2181,9882,NULL,NULL,63735,245168,NULL,NULL,8466,74128,NULL,74382,329178
2007,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",NULL,1727,9475,NULL,NULL,77268,258848,NULL,NULL,9015,51073,NULL,88010,319396
2008,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",NULL,4489,15832,NULL,NULL,81648,245823,NULL,NULL,18529,93429,NULL,104666,355084
2009,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",NULL,3528,13884,NULL,NULL,154045,543195,NULL,NULL,13727,44540,NULL,171300,601619
2010,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",NULL,10357,29270,NULL,NULL,120531,304002,NULL,NULL,22364,77146,NULL,153252,410418
2011,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",NULL,2814,9750,NULL,NULL,101263,318125,NULL,NULL,7771,36996,NULL,111848,364871
2012,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",NULL,3023,10958,NULL,NULL,55464,192134,NULL,NULL,6813,27723,NULL,65300,230815
2013,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",NULL,1661,5738,NULL,NULL,90496,214074,NULL,NULL,2907,11511,NULL,95064,231323
2014,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",NULL,4783,13526,NULL,NULL,109279,260130,NULL,NULL,13341,47057,NULL,127403,320713
2015,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",NULL,3664,8131,NULL,NULL,84896,234382,NULL,NULL,5842,18848,NULL,94402,261361
2016,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",7416,4822,12238,92225,7519,29146,128890,33839,5608,3469,42916,146607,37437,184044
2017,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",2255,1236,3491,75690,3177,27909,106776,5019,804,751,6574,86945,29896,116841
2018,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",3888,2595,6483,45430,2183,21725,69338,19056,3224,2382,24662,73781,26702,100483
2019,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",1612,1522,3134,33507,2367,30300,66174,4214,1180,899,6292,42879,32721,75600
2020,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",2047,2054,4101,42542,4718,28132,75392,23001,3920,5278,32199,76228,35464,111692
2021,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",798,1119,1917,35723,1462,19071,56256,8505,1301,1690,11496,47789,21880,69669
2022,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",3923,2979,6902,50996,2506,23189,76691,31037,2504,6737,40278,90966,32905,123871
2023,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",6,"Returns of upriver summer steelhead to Bonneville Dam (April-October), 1984-2023.",1813,1391,3204,57109,3198,30593,90900,14652,3519,1616,19787,80291,33600,113891
