year,transported,tag_id,population,release_rkm,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2011,T,3D9.1C2D21F4B4 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D0F3CE0 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D140271 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2D1637A7 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2D215B84 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2D0DE5CF ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,0,0,0,1
2011,T,3D9.1C2D0D7D26 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D21DFFB ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,1,0,0,0
2011,T,3D9.1C2D2178AE ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D0EDE16 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2CF0D778 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D1354E9 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,0,0,0,1
2011,T,3D9.1C2D13E7EB ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,0,0,0,0
2011,T,3D9.1C2D13F371 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2D218784 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2CEFCC5E ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,0,0,0,1
2011,T,3D9.1C2D0D6C3E ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D12EE8E ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D13BB8B ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2D17760D ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D121757 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,0,0,0,1
2011,T,3D9.1C2D155A83 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2CFD6C4F ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D156268 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,0,0,0,1
2011,T,3D9.1C2D21DA49 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D0E8C31 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2CF09103 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2CF09466 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D10EE60 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D14CFAD ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D136323 ,SnakeSock_LGRabv,522.303.615.003,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D10B096 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D0EF1A0 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,0
2011,T,3D9.1C2D0E4BAE ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D070F74 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,0,0,0,1
2011,T,3D9.1C2D0F48B9 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D0E4B80 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D0B2330 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D0F3329 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D0E085F ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D0F5ACB ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2D0D6A0F ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2D0E28B8 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2CBD38F6 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D13B6C3 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2D0E3AEF ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D0DF6EF ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,0,1,0,0,1
2011,T,3D9.1C2D1356E6 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2D0F08EA ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D0DFC56 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D078F4A ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2D130DD1 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D12B1E4 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2D0DC423 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2D0DD073 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D134AB4 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D0DE4C0 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2D12ED81 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D0DE301 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D13A0A8 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,0,0,0,0,0
2011,T,3D9.1C2D0E55F8 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D0EB2FC ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D0DD692 ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1C2D12CB3D ,SnakeSock_LGRabv,522.303.617,2009,1,0,0,1,1,0,0,1
